locus_tag	ftype	length_bp	gene	EC_number	COG	product
GJHCLFJP_00001	gene	2211	relA			
GJHCLFJP_00001	CDS	2211	relA	2.7.6.5		GTP pyrophosphokinase
GJHCLFJP_00002	gene	453	dtd			
GJHCLFJP_00002	CDS	453	dtd	3.1.1.96		D-aminoacyl-tRNA deacylase
GJHCLFJP_00003	gene	876				
GJHCLFJP_00003	CDS	876				hypothetical protein
GJHCLFJP_00004	gene	1263	hisS			
GJHCLFJP_00004	CDS	1263	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
GJHCLFJP_00005	gene	1767	aspS			
GJHCLFJP_00005	CDS	1767	aspS	6.1.1.12		Aspartate--tRNA ligase
GJHCLFJP_00006	gene	774				
GJHCLFJP_00006	CDS	774				hypothetical protein
GJHCLFJP_00007	gene	1275				
GJHCLFJP_00007	CDS	1275			COG2256	putative AAA domain-containing protein
GJHCLFJP_00008	gene	423	cymR			
GJHCLFJP_00008	CDS	423	cymR			HTH-type transcriptional regulator CymR
GJHCLFJP_00009	gene	183				
GJHCLFJP_00009	CDS	183				hypothetical protein
GJHCLFJP_00010	gene	147				
GJHCLFJP_00010	CDS	147				hypothetical protein
GJHCLFJP_00011	gene	1014				
GJHCLFJP_00011	CDS	1014				hypothetical protein
GJHCLFJP_00012	gene	1143	iscS_1			
GJHCLFJP_00012	CDS	1143	iscS_1	2.8.1.7	COG1104	Cysteine desulfurase IscS
GJHCLFJP_00013	gene	1119	mnmA			
GJHCLFJP_00013	CDS	1119	mnmA	2.8.1.13		tRNA-specific 2-thiouridylase MnmA
GJHCLFJP_00014	gene	669	yrrB			
GJHCLFJP_00014	CDS	669	yrrB			TPR repeat-containing protein YrrB
GJHCLFJP_00015	gene	2478	recD2			
GJHCLFJP_00015	CDS	2478	recD2	3.6.4.12	COG0507	ATP-dependent RecD-like DNA helicase
GJHCLFJP_00016	gene	2634	alaS			
GJHCLFJP_00016	CDS	2634	alaS	6.1.1.7		Alanine--tRNA ligase
GJHCLFJP_00017	gene	261				
GJHCLFJP_00017	CDS	261				hypothetical protein
GJHCLFJP_00018	gene	429	yrrK			
GJHCLFJP_00018	CDS	429	yrrK	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
GJHCLFJP_00019	gene	309				
GJHCLFJP_00019	CDS	309				hypothetical protein
GJHCLFJP_00020	gene	639	trmR			
GJHCLFJP_00020	CDS	639	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
GJHCLFJP_00021	gene	924	rlhA			
GJHCLFJP_00021	CDS	924	rlhA		COG0826	23S rRNA 5-hydroxycytidine synthase
GJHCLFJP_00022	gene	1269				
