Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
EHKPOLGJ_00033	AWR33892.1|GT51|	100.0	301	0	0	1	301	1	301	7.2e-205	565.5
EHKPOLGJ_00059	AWZ17133.1|GH13_30|	34.5	763	440	13	272	983	743	1496	6.6e-133	444.5
EHKPOLGJ_00065	AXG47089.1|GH13_3|	51.8	452	214	3	4	451	17	468	1.2e-162	471.5
EHKPOLGJ_00078	CAN65674.1|GH28|	42.0	560	295	8	59	613	95	629	1.3e-132	424.5
EHKPOLGJ_00096	AWP04987.1|GT13|	38.8	780	379	12	5	695	98	868	1.2e-169	536.2
EHKPOLGJ_00236	CBA03971.1|GT30|	55.2	382	170	1	1	381	1	382	1.3e-133	412.5
EHKPOLGJ_00239	AJP19922.1|GH13_31|	100.0	549	0	0	1	549	1	549	0.0e+00	1164.1
EHKPOLGJ_00293	AXG41146.1|GH6|	33.9	880	480	13	2	796	9	871	1.4e-146	457.6
EHKPOLGJ_00332	QCT56415.1|GT4|	100.0	490	0	0	1	490	1	490	0.0e+00	988.8
EHKPOLGJ_00333	ATW79354.1|GT4|	100.0	496	0	0	1	496	1	496	0.0e+00	1003.8
EHKPOLGJ_00402	VDZ16633.1|GT26|	100.0	254	0	0	1	254	1	254	2.9e-185	511.9
EHKPOLGJ_00406	ATW79429.1|GT2|	100.0	353	0	0	1	353	1	353	3.7e-256	699.5
EHKPOLGJ_00430	AWE67159.1|CBM50|	100.0	265	0	0	1	265	1	265	2.1e-188	520.8
EHKPOLGJ_00466	CCG15344.1|CE9|	100.0	393	0	0	1	393	1	393	3.0e-289	786.6
EHKPOLGJ_00469	QBB18010.1|GT2|	100.0	327	0	0	1	327	1	327	2.5e-234	642.1
EHKPOLGJ_00519	AJP26577.1|CBM50|	100.0	279	0	0	1	279	1	279	2.6e-171	478.8
EHKPOLGJ_00552	ALH97553.1|GH1|	100.0	470	0	0	1	470	1	470	0.0e+00	988.0
EHKPOLGJ_00565	QBB19131.1|PL8_1|	100.0	808	0	0	1	808	1	808	0.0e+00	1578.1
EHKPOLGJ_00568	VDZ18202.1|GT4|	100.0	505	0	0	1	505	1	505	0.0e+00	996.9
EHKPOLGJ_00660	AJP20726.1|GH73|	100.0	258	0	0	1	258	1	258	3.9e-183	506.9
EHKPOLGJ_00670	AXG47089.1|GH13_3|	40.5	442	258	2	5	445	17	454	2.9e-109	335.5
EHKPOLGJ_00677	VEC47756.1|GH4|	50.0	534	258	6	1	531	2	529	1.0e-169	497.7
EHKPOLGJ_00733	ACV39365.1|GH32|	41.0	480	266	7	8	478	6	477	9.8e-113	359.0
EHKPOLGJ_00803	AXG41146.1|GH6|	41.8	686	385	7	160	842	180	854	1.3e-156	485.3
EHKPOLGJ_00936	QCT56313.1|CBM50|	100.0	335	0	0	1	335	1	335	2.3e-234	642.9
EHKPOLGJ_00955	AWP09430.1|AA3_2|	47.4	548	272	7	4	542	16	556	1.3e-169	497.7
EHKPOLGJ_00989	VEB68778.1|GH73|	100.0	619	0	0	1	619	1	619	0.0e+00	954.1
EHKPOLGJ_00992	VDZ18648.1|GT8|	100.0	452	0	0	1	452	1	452	0.0e+00	910.2
EHKPOLGJ_00993	AUU45163.1|GT4|	100.0	502	0	0	1	502	1	502	0.0e+00	1010.0
EHKPOLGJ_01014	QCV77825.1|GT2|	100.0	412	0	0	1	412	1	412	9.1e-280	764.2
EHKPOLGJ_01016	VDZ18669.1|CE4|	100.0	290	0	0	1	290	1	290	2.0e-210	578.6
EHKPOLGJ_01072	CAN80640.1|GT47|	44.1	417	227	5	6	418	944	1358	7.2e-109	354.0
EHKPOLGJ_01144	VEB65272.1|CBM50|	100.0	372	0	0	1	372	1	372	1.5e-267	729.9
