locus_tag	ftype	length_bp	gene	EC_number	COG	product
EHKPOLGJ_00001	gene	402	rot			
EHKPOLGJ_00001	CDS	402	rot			HTH-type transcriptional regulator rot
EHKPOLGJ_00002	gene	564				
EHKPOLGJ_00002	CDS	564				hypothetical protein
EHKPOLGJ_00003	gene	954				
EHKPOLGJ_00003	CDS	954				hypothetical protein
EHKPOLGJ_00004	gene	1182	mdtH			
EHKPOLGJ_00004	CDS	1182	mdtH			Multidrug resistance protein MdtH
EHKPOLGJ_00005	gene	2418	leuS			
EHKPOLGJ_00005	CDS	2418	leuS	6.1.1.4		Leucine--tRNA ligase
EHKPOLGJ_00006	gene	312				
EHKPOLGJ_00006	CDS	312		2.8.1.-	COG0607	Sulfurtransferase
EHKPOLGJ_00007	gene	6570				
EHKPOLGJ_00007	CDS	6570				hypothetical protein
EHKPOLGJ_00008	gene	1269				
EHKPOLGJ_00008	CDS	1269			COG2081	putative protein
EHKPOLGJ_00009	gene	1662	murJ			
EHKPOLGJ_00009	CDS	1662	murJ		COG2244	Lipid II flippase MurJ
EHKPOLGJ_00010	gene	696	rsuA			
EHKPOLGJ_00010	CDS	696	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
EHKPOLGJ_00011	gene	423				
EHKPOLGJ_00011	CDS	423				hypothetical protein
EHKPOLGJ_00012	gene	1410				
EHKPOLGJ_00012	CDS	1410		3.4.13.-		Putative dipeptidase
EHKPOLGJ_00013	gene	849	dat			
EHKPOLGJ_00013	CDS	849	dat	2.6.1.21		D-alanine aminotransferase
EHKPOLGJ_00014	gene	792				
EHKPOLGJ_00014	CDS	792				hypothetical protein
EHKPOLGJ_00015	gene	645	trmB			
EHKPOLGJ_00015	CDS	645	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
EHKPOLGJ_00016	gene	843	ytnP			
EHKPOLGJ_00016	CDS	843	ytnP	3.1.1.-	COG0491	putative quorum-quenching lactonase YtnP
EHKPOLGJ_00017	gene	315				
EHKPOLGJ_00017	CDS	315				hypothetical protein
EHKPOLGJ_00018	gene	1077	pepA_1			
EHKPOLGJ_00018	CDS	1077	pepA_1	3.4.11.7	COG1363	Glutamyl aminopeptidase
EHKPOLGJ_00019	gene	312	ytpP			
EHKPOLGJ_00019	CDS	312	ytpP			Thioredoxin-like protein YtpP
EHKPOLGJ_00020	gene	858				
EHKPOLGJ_00020	CDS	858				hypothetical protein
EHKPOLGJ_00021	gene	597				
EHKPOLGJ_00021	CDS	597				hypothetical protein
EHKPOLGJ_00022	gene	3825				
EHKPOLGJ_00022	CDS	3825				hypothetical protein
EHKPOLGJ_00023	gene	1314	murC			
EHKPOLGJ_00023	CDS	1314	murC	6.3.2.8		UDP-N-acetylmuramate--L-alanine ligase
EHKPOLGJ_00024	gene	492				
EHKPOLGJ_00024	CDS	492				hypothetical protein
EHKPOLGJ_00025	gene	1359				
EHKPOLGJ_00025	CDS	1359				hypothetical protein
EHKPOLGJ_00026	gene	1092	aroA_1			
EHKPOLGJ_00026	CDS	1092	aroA_1		COG1605	Protein AroA(G)
EHKPOLGJ_00027	gene	990	ccpA			
EHKPOLGJ_00027	CDS	990	ccpA			Catabolite control protein A
EHKPOLGJ_00028	gene	1170	acuC			
EHKPOLGJ_00028	CDS	1170	acuC			Acetoin utilization protein AcuC
EHKPOLGJ_00029	gene	633	acuA			
EHKPOLGJ_00029	CDS	633	acuA	2.3.1.-		Acetoin utilization protein AcuA
EHKPOLGJ_00030	gene	1707	acsA_1			
EHKPOLGJ_00030	CDS	1707	acsA_1	6.2.1.1	COG0365	Acetyl-coenzyme A synthetase
EHKPOLGJ_00031	gene	1668	fhs			
EHKPOLGJ_00031	CDS	1668	fhs	6.3.4.3		Formate--tetrahydrofolate ligase
EHKPOLGJ_00032	gene	2688	isdH			
EHKPOLGJ_00032	CDS	2688	isdH			Iron-regulated surface determinant protein H
EHKPOLGJ_00033	gene	906	mrcA			
EHKPOLGJ_00033	CDS	906	mrcA		COG5009	Penicillin-binding protein 1A
EHKPOLGJ_00034	gene	1263	tyrS			
EHKPOLGJ_00034	CDS	1263	tyrS	6.1.1.1		Tyrosine--tRNA ligase
EHKPOLGJ_00035	gene	1275				
EHKPOLGJ_00035	CDS	1275				hypothetical protein
EHKPOLGJ_00036	gene	618	plsC			
EHKPOLGJ_00036	CDS	618	plsC	2.3.1.-	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase
EHKPOLGJ_00037	gene	1467	nagP			
EHKPOLGJ_00037	CDS	1467	nagP			PTS system N-acetylglucosamine-specific EIICB component
EHKPOLGJ_00038	gene	1131				
EHKPOLGJ_00038	CDS	1131				hypothetical protein
EHKPOLGJ_00039	gene	1605	serA			
EHKPOLGJ_00039	CDS	1605	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
EHKPOLGJ_00040	gene	1161				
EHKPOLGJ_00040	CDS	1161		1.12.-.-		Soluble hydrogenase 42 kDa subunit
EHKPOLGJ_00041	gene	447				
EHKPOLGJ_00041	CDS	447				hypothetical protein
EHKPOLGJ_00042	gene	744	glpQ_1			
EHKPOLGJ_00042	CDS	744	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase
EHKPOLGJ_00043	gene	603	rpsD			
