Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
GJHCLFJP_00121	CBA03971.1|GT30|	55.2	382	170	1	1	381	1	382	1.3e-133	412.5
GJHCLFJP_00124	VDZ14888.1|GH13_31|	100.0	549	0	0	1	549	1	549	0.0e+00	1164.8
GJHCLFJP_00148	AWQ94798.1|CBM50|	100.0	486	0	0	1	486	1	486	9.5e-224	628.6
GJHCLFJP_00169	AQR13502.1|GT4|	100.0	380	0	0	1	380	1	380	8.4e-278	756.5
GJHCLFJP_00177	ALY21001.1|GT51|	100.0	727	0	0	1	727	1	727	0.0e+00	1396.7
GJHCLFJP_00215	CKH61005.1|GT28|	100.0	391	0	0	1	391	1	391	3.1e-290	788.9
GJHCLFJP_00235	ARI73269.1|GT4|	100.0	493	0	0	1	493	1	493	0.0e+00	980.7
GJHCLFJP_00252	ALY28584.1|GH73|	100.0	1175	0	0	1	1175	1	1175	0.0e+00	2255.3
GJHCLFJP_00391	ALY17963.1|CBM50|	100.0	372	0	0	1	372	1	372	6.5e-262	715.7
GJHCLFJP_00448	AQR14318.1|PL8_1|	100.0	807	0	0	1	807	1	807	0.0e+00	1581.6
GJHCLFJP_00546	AQR35012.1|GH73|	100.0	258	0	0	1	258	1	258	1.6e-182	505.4
GJHCLFJP_00556	AXG47089.1|GH13_3|	40.5	442	258	2	5	445	17	454	4.1e-109	335.1
GJHCLFJP_00563	VEC47756.1|GH4|	50.0	534	258	6	1	531	2	529	1.0e-169	497.7
GJHCLFJP_00585	AOC60490.1|GT51|	100.0	269	0	0	1	269	1	269	4.4e-174	485.0
GJHCLFJP_00662	AEB89046.1|GH23|	100.0	1509	0	0	1	1509	1	1509	0.0e+00	2623.2
GJHCLFJP_00749	AWK40335.1|GH6|	33.6	672	360	11	76	667	175	840	1.6e-108	354.0
GJHCLFJP_00758	QBQ55156.1|CBM50|	38.1	654	379	10	163	801	69	711	2.9e-119	386.3
GJHCLFJP_00764	AZL92466.1|GT2|	100.0	375	0	0	1	375	1	375	1.3e-276	753.1
GJHCLFJP_00769	AIU86486.1|GH23|	100.0	233	0	0	1	233	1	233	3.4e-160	446.8
GJHCLFJP_00815	AWQ89385.1|GH1|	100.0	478	0	0	1	478	1	478	0.0e+00	1002.3
GJHCLFJP_00824	AID38679.1|GT2|	100.0	574	0	0	1	574	1	574	0.0e+00	1137.1
GJHCLFJP_00828	BBK27088.1|GT2|	52.3	363	169	3	28	387	353	714	5.2e-130	394.0
GJHCLFJP_00942	ALY20692.1|GH73|	99.8	627	1	0	1	627	1	627	0.0e+00	1281.5
GJHCLFJP_00988	AXG41146.1|GH6|	41.7	686	386	7	160	842	180	854	3.7e-156	484.2
GJHCLFJP_01080	AND37498.1|GH73|	100.0	619	0	0	1	619	1	619	0.0e+00	966.5
GJHCLFJP_01083	ALS73573.1|GT8|	100.0	452	0	0	1	452	1	452	0.0e+00	911.4
GJHCLFJP_01084	AXJ54923.1|GT4|	100.0	502	0	0	1	502	1	502	0.0e+00	1010.4
GJHCLFJP_01103	QCV77825.1|GT2|	100.0	412	0	0	1	412	1	412	9.1e-280	764.2
GJHCLFJP_01105	CBI50669.1|CE4|	100.0	290	0	0	1	290	1	290	5.0e-211	580.1
GJHCLFJP_01163	AWR33892.1|GT51|	100.0	301	0	0	1	301	1	301	7.2e-205	565.5
GJHCLFJP_01189	AWZ17133.1|GH13_30|	32.9	836	497	15	203	983	670	1496	6.3e-132	441.8
GJHCLFJP_01231	AXN68599.1|GH23|	100.0	340	0	0	1	340	1	340	7.0e-243	664.8
GJHCLFJP_01284	APT74155.1|CBM50|	36.6	497	302	7	10	497	27	519	2.6e-106	334.0
GJHCLFJP_01293	VEJ19452.1|GT4|	63.6	332	118	2	4	334	372	701	3.2e-139	415.6
GJHCLFJP_01295	AOP02734.1|GT0|	52.2	381	171	2	5	374	22	402	3.3e-131	386.0
GJHCLFJP_01296	AXN68358.1|GT0|	100.0	359	0	0	1	359	1	359	9.3e-269	731.9
GJHCLFJP_01300	ALY16844.1|GT4|	100.0	401	0	0	1	401	1	401	3.3e-297	807.4
GJHCLFJP_01303	CVK34402.1|GT4|	42.8	400	221	7	1	399	3	395	3.3e-105	335.5
GJHCLFJP_01304	AMW24368.1|GT0|	68.3	375	119	0	1	375	1	375	2.3e-192	540.4
GJHCLFJP_01318	ACX49739.1|GH4|	25.9	1367	913	21	413	1687	461	1819	3.0e-116	419.1
GJHCLFJP_01371	AJP26577.1|CBM50|	100.0	279	0	0	1	279	1	279	2.6e-171	478.8
GJHCLFJP_01442	AVT86074.1|GH23|	100.0	231	0	0	1	231	1	231	1.8e-154	432.2
GJHCLFJP_01451	QBL10804.1|GT4|	56.5	508	208	2	1	495	1	508	3.0e-192	550.4
GJHCLFJP_01457	AUV68874.1|GT0|	68.8	375	117	0	1	375	1	375	1.4e-189	533.1
GJHCLFJP_01459	AHO16406.1|GH13_11|	56.9	364	151	4	15	374	11	372	1.2e-131	400.6
GJHCLFJP_01513	ATN56529.1|GH0	99.7	747	0	1	1	747	1	745	0.0e+00	1516.9
GJHCLFJP_01520	SQE58987.1|CBM50|	100.0	426	0	0	1	426	1	426	7.5e-240	664.5
GJHCLFJP_01538	QBX58223.1|GT4|	100.0	388	0	0	1	388	1	388	6.0e-282	767.7
GJHCLFJP_01553	AND37422.1|GH73|	100.0	348	0	0	1	348	1	348	2.7e-260	709.5
GJHCLFJP_01633	ACV39365.1|GH32|	40.1	481	275	6	3	478	5	477	1.9e-112	358.2
GJHCLFJP_01682	AQR42059.1|GT26|	100.0	254	0	0	1	254	1	254	2.9e-185	511.9
GJHCLFJP_01686	AID39149.1|GT2|	100.0	353	0	0	1	353	1	353	9.1e-257	701.0
GJHCLFJP_01710	AWE67159.1|CBM50|	100.0	265	0	0	1	265	1	265	2.1e-188	520.8
GJHCLFJP_01768	AXG41146.1|GH6|	33.9	880	480	13	2	796	9	871	1.4e-146	457.6
GJHCLFJP_01814	CAN80640.1|GT47|	43.9	417	228	5	6	418	944	1358	1.9e-108	352.8
GJHCLFJP_01880	AWP09430.1|AA3_2|	47.6	548	271	7	4	542	16	556	2.3e-170	499.6
GJHCLFJP_01897	VUW72999.1|AA1|	51.3	460	204	7	153	606	182	627	1.7e-129	417.5
GJHCLFJP_01945	AXG47089.1|GH13_3|	48.9	450	229	1	4	452	17	466	1.2e-151	444.1
GJHCLFJP_01982	AXG47089.1|GH13_3|	53.2	436	202	2	4	437	17	452	7.0e-162	469.5
GJHCLFJP_01995	CAN65674.1|GH28|	42.0	560	295	8	59	613	95	629	1.3e-132	424.5
GJHCLFJP_02012	AUU52109.1|GT4|	100.0	490	0	0	1	490	1	490	0.0e+00	988.0
GJHCLFJP_02013	AJE63972.1|GT4|	100.0	496	0	0	1	496	1	496	0.0e+00	1003.8
GJHCLFJP_02056	AXJ29853.1|CBM50|	100.0	334	0	0	1	334	1	334	2.6e-235	645.2
GJHCLFJP_02088	AGP28079.1|GH23|	100.0	2066	0	0	1	2066	1	2066	0.0e+00	3316.2
