#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_01233	1	1920	+	tet(M)	1-1920/1920	===============	0/0	100.00	100.00	ncbi	NG_048252.1	tetracycline resistance ribosomal protection protein Tet(M)	TETRACYCLINE
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_01545	7	1359	+	tet(38)	1-1353/1353	===============	0/0	100.00	99.93	ncbi	NG_048135.1	tetracycline efflux MFS transporter Tet(38)	TETRACYCLINE
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_01557	1	846	+	blaPC1	1-846/846	===============	0/0	100.00	99.41	ncbi	NG_052065.1	BlaZ family penicillin-hydrolyzing class A beta-lactamase PC1	BETA-LACTAM
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_01558	1	1758	+	blaR1	1-1758/1758	===============	0/0	100.00	99.94	ncbi	NG_047539.1	beta-lactam sensor/signal transducer BlaR1	BETA-LACTAM
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_01559	1	381	+	blaI_of_Z	1-381/381	===============	0/0	100.00	100.00	ncbi	NG_047499.1	penicillinase repressor BlaI	BETA-LACTAM
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_02252	1	420	+	fosB-Saur	1-420/420	===============	0/0	100.00	100.00	ncbi	NG_065844.1	FosB1/FosB3 family fosfomycin resistance bacillithiol transferase	FOSFOMYCIN
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_02357	1	732	+	erm(A)	1-732/732	===============	0/0	100.00	100.00	ncbi	NG_047789.1	23S rRNA (adenine(2058)-N(6))-methyltransferase Erm(A)	MACROLIDE
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_02437	1	2007	+	mecA	1-2007/2007	===============	0/0	100.00	99.90	ncbi	NG_047937.1	PBP2a family beta-lactam-resistant peptidoglycan transpeptidase MecA	METHICILLIN
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_02438	1	1758	+	mecR1	1-1758/1758	===============	0/0	100.00	100.00	ncbi	NG_051163.1	beta-lactam sensor/signal transducer MecR1	METHICILLIN
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_02631	1	795	+	aph(3')-IIIa	1-795/795	===============	0/0	100.00	100.00	ncbi	NG_047418.1	aminoglycoside O-phosphotransferase APH(3')-IIIa	AMIKACIN;KANAMYCIN
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_02632	1	531	+	sat4	1-543/543	========/======	1/12	97.79	97.79	ncbi	NG_048072.1	streptothricin N-acetyltransferase Sat4	STREPTOTHRICIN
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_02633	1	909	+	ant(6)-Ia	1-909/909	===============	0/0	100.00	100.00	ncbi	NG_047393.1	aminoglycoside nucleotidyltransferase ANT(6)-Ia	STREPTOMYCIN
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_02697	1	486	+	dfrC	1-486/486	===============	0/0	100.00	98.97	ncbi	NG_047752.1	trimethoprim-resistant dihydrofolate reductase DfrC	TRIMETHOPRIM
/home/junyuchen/1-Projects/WGS-Pipeline/result/testout/prokka/ER064912/ER064912.ffn	GJHCLFJP_02699	631	1427	+	aph(2'')-Ih	70-866/894	.==============	0/0	89.15	82.43	ncbi	NG_047408.1	aminoglycoside O-phosphotransferase APH(2'')-Ih	AMIKACIN;GENTAMICIN;KANAMYCIN;TOBRAMYCIN
