#	gene name	KO	thrshld	score	E-value	"KO definition"
#	---------	------	-------	------	---------	-------------
	EHKPOLGJ_00008	K07007		173.9	8.1e-52	"""3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]"""
	EHKPOLGJ_00008	K15873		14.8	0.00096	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_00030	K15868	502.87	216.5	7.3e-65	"bile acid-coenzyme A ligase [EC:6.2.1.7]"
	EHKPOLGJ_00201	K22607		10.8	0.026	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_00228	K15870		19.3	3.8e-05	"3-oxocholoyl-CoA 4-desaturase [EC:1.3.1.115]"
	EHKPOLGJ_00244	K00076	273.03	75.1	6.2e-22	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_00244	K23231	404.80	43.9	3.1e-12	"7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]"
	EHKPOLGJ_00244	K22606	327.27	30.4	3.5e-08	"3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]"
	EHKPOLGJ_00244	K22605	468.37	27.4	3.7e-07	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_00244	K22607		20.4	3.1e-05	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_00244	K15869		19.6	5.9e-05	"3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]"
	EHKPOLGJ_00342	K15868	502.87	161.7	2.9e-48	"bile acid-coenzyme A ligase [EC:6.2.1.7]"
	EHKPOLGJ_00361	K15870		26.2	3e-07	"3-oxocholoyl-CoA 4-desaturase [EC:1.3.1.115]"
	EHKPOLGJ_00361	K15873		13.0	0.0034	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_00361	K07007		12.7	0.0071	"""3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]"""
	EHKPOLGJ_00528	K15873		18.6	7.1e-05	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_00655	K15873		10.2	0.024	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_00659	K15873		11.3	0.011	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_00682	K00076	273.03	180.7	4.5e-54	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_00682	K22606	327.27	101.9	5.4e-30	"3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]"
	EHKPOLGJ_00682	K22605	468.37	85.7	5.9e-25	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_00682	K22607		65.9	3.9e-19	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_00682	K15869		50.7	1.9e-14	"3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]"
	EHKPOLGJ_00682	K22604	583.57	19.2	0.00011	"3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]"
	EHKPOLGJ_00682	K23231	404.80	12.1	0.015	"7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]"
	EHKPOLGJ_00728	K15873		20.1	2.5e-05	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_00822	K15870		99.0	2.8e-29	"3-oxocholoyl-CoA 4-desaturase [EC:1.3.1.115]"
	EHKPOLGJ_00822	K15873		73.4	1.8e-21	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_00846	K15868	502.87	112.7	2.1e-33	"bile acid-coenzyme A ligase [EC:6.2.1.7]"
	EHKPOLGJ_00944	K15873		22.7	4e-06	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_00944	K15870		18.8	5.3e-05	"3-oxocholoyl-CoA 4-desaturase [EC:1.3.1.115]"
	EHKPOLGJ_00952	K15868	502.87	239.8	6.5e-72	"bile acid-coenzyme A ligase [EC:6.2.1.7]"
	EHKPOLGJ_01111	K00076	273.03	115.2	3.9e-34	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_01111	K22605	468.37	69.1	7e-20	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_01111	K22606	327.27	53.0	4.6e-15	"3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]"
	EHKPOLGJ_01111	K23231	404.80	49.0	8.1e-14	"7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]"
	EHKPOLGJ_01111	K15869		40.3	2.9e-11	"3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]"
	EHKPOLGJ_01111	K22607		36.7	3.2e-10	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_01111	K22604	583.57	24.5	2.7e-06	"3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]"
	EHKPOLGJ_01140	K15870		12.1	0.0059	"3-oxocholoyl-CoA 4-desaturase [EC:1.3.1.115]"
	EHKPOLGJ_01160	K00076	273.03	253.7	2.8e-76	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_01160	K22605	468.37	194.7	3.2e-58	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_01160	K22606	327.27	178.1	3.1e-53	"3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]"
	EHKPOLGJ_01160	K15869		144.9	3.4e-43	"3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]"
	EHKPOLGJ_01160	K22607		135.9	1.9e-40	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_01160	K23231	404.80	50.6	2.7e-14	"7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]"
	EHKPOLGJ_01160	K22604	583.57	40.0	4.9e-11	"3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]"
	EHKPOLGJ_01180	K00076	273.03	8.1	0.15	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_01207	K00076	273.03	12.6	0.0066	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_01222	K15868	502.87	268.7	1.1e-80	"bile acid-coenzyme A ligase [EC:6.2.1.7]"
	EHKPOLGJ_01270	K15868	502.87	117.5	7.2e-35	"bile acid-coenzyme A ligase [EC:6.2.1.7]"
	EHKPOLGJ_01296	K22605	468.37	18.7	0.00017	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_01297	K00076	273.03	13.1	0.0046	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_01330	K00076	273.03	11.9	0.011	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_01362	K15873		35.3	6.1e-10	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_01582	K15870		69.4	2.7e-20	"3-oxocholoyl-CoA 4-desaturase [EC:1.3.1.115]"
	EHKPOLGJ_01582	K15873		64.3	1.1e-18	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_01588	K00076	273.03	13.9	0.0027	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_01639	K15873		15.4	0.00065	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_01835	K00076	273.03	113.7	1.1e-33	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_01835	K22605	468.37	60.3	3.4e-17	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_01835	K15869		50.9	1.6e-14	"3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]"
	EHKPOLGJ_01835	K22607		49.4	4.3e-14	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_01835	K22606	327.27	47.5	2.2e-13	"3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]"
	EHKPOLGJ_01835	K23231	404.80	20.3	4.6e-05	"7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]"
	EHKPOLGJ_01998	K00076	273.03	210.1	5.2e-63	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_01998	K22606	327.27	161.5	3.5e-48	"3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]"
	EHKPOLGJ_01998	K22605	468.37	144.8	5.3e-43	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_01998	K15869		120.8	7.5e-36	"3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]"
	EHKPOLGJ_01998	K22607		100.3	1.3e-29	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_01998	K22604	583.57	43.3	4.8e-12	"3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]"
	EHKPOLGJ_01998	K23231	404.80	42.5	8.2e-12	"7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]"
	EHKPOLGJ_02064	K15873		20.4	1.9e-05	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_02064	K07007		11.1	0.022	"""3-dehydro-bile acid Delta4,6-reductase [EC:1.3.1.114]"""
	EHKPOLGJ_02067	K15873		23.2	2.8e-06	"7beta-hydroxy-3-oxochol-24-oyl-CoA 4-desaturase [EC:1.3.1.116]"
	EHKPOLGJ_02067	K15870		10.3	0.021	"3-oxocholoyl-CoA 4-desaturase [EC:1.3.1.115]"
	EHKPOLGJ_02112	K01442	371.50	292.5	7.2e-88	"choloylglycine hydrolase [EC:3.5.1.24]"
	EHKPOLGJ_02304	K15868	502.87	202.3	1.5e-60	"bile acid-coenzyme A ligase [EC:6.2.1.7]"
	EHKPOLGJ_02316	K15871	858.37	19.3	5.5e-05	"bile acid CoA-transferase [EC:2.8.3.25]"
	EHKPOLGJ_02347	K00076	273.03	137.4	6.9e-41	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_02347	K22605	468.37	53.9	3.1e-15	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_02347	K15869		46.4	3.9e-13	"3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]"
	EHKPOLGJ_02347	K22606	327.27	31.5	1.6e-08	"3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]"
	EHKPOLGJ_02347	K22604	583.57	15.9	0.0011	"3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]"
	EHKPOLGJ_02347	K22607		14.7	0.0016	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_02459	K01442	371.50	29.1	8.1e-08	"choloylglycine hydrolase [EC:3.5.1.24]"
	EHKPOLGJ_02521	K00076	273.03	171.5	2.8e-51	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_02521	K22606	327.27	131.0	6.9e-39	"3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]"
	EHKPOLGJ_02521	K15869		97.9	7.5e-29	"3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]"
	EHKPOLGJ_02521	K22605	468.37	96.4	3.2e-28	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_02521	K22607		92.0	4.3e-27	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_02521	K23231	404.80	67.0	2.7e-19	"7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]"
	EHKPOLGJ_02521	K22604	583.57	28.7	1.4e-07	"3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]"
	EHKPOLGJ_02527	K00076	273.03	225.7	9.4e-68	"7-alpha-hydroxysteroid dehydrogenase [EC:1.1.1.159]"
	EHKPOLGJ_02527	K22606	327.27	168.0	3.8e-50	"3beta-hydroxycholanate 3-dehydrogenase (NAD+) [EC:1.1.1.391]"
	EHKPOLGJ_02527	K22605	468.37	149.6	1.9e-44	"3alpha-hydroxycholanate dehydrogenase (NADP+) [EC:1.1.1.392]"
	EHKPOLGJ_02527	K22607		127.4	7.5e-38	"3beta-hydroxycholanate 3-dehydrogenase (NADP+) [EC:1.1.1.393]"
	EHKPOLGJ_02527	K15869		90.8	1.1e-26	"3alpha-hydroxy bile acid-CoA-ester 3-dehydrogenase [EC:1.1.1.395]"
	EHKPOLGJ_02527	K22604	583.57	44.9	1.5e-12	"3alpha-hydroxycholanate dehydrogenase (NAD+) [EC:1.1.1.52]"
	EHKPOLGJ_02527	K23231	404.80	41.5	1.6e-11	"7beta-hydroxysteroid dehydrogenase (NADP+) [EC:1.1.1.201]"
