HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT51.hmm	177	EHKPOLGJ_00033	301	1.1e-52	6	176	87	272	0.96045197740113
GH13_31.hmm	349	EHKPOLGJ_00239	549	4.1e-161	1	349	28	372	0.997134670487106
GT4.hmm	160	EHKPOLGJ_00332	490	4.1e-37	5	154	313	461	0.93125
GT4.hmm	160	EHKPOLGJ_00333	496	1.5e-31	9	159	321	470	0.9375
CE14.hmm	124	EHKPOLGJ_00335	221	3.9e-29	1	124	8	126	0.9919354838709677
GT26.hmm	171	EHKPOLGJ_00402	254	4.8e-61	2	170	66	232	0.9824561403508771
CE10.hmm	341	EHKPOLGJ_00420	347	3.2e-55	36	338	18	322	0.8856304985337243
CE9.hmm	373	EHKPOLGJ_00466	393	3.7e-134	1	373	6	387	0.9973190348525469
GT2_Glycos_transf_2.hmm	170	EHKPOLGJ_00469	327	1.8e-27	2	132	5	141	0.7647058823529411
GH1.hmm	429	EHKPOLGJ_00552	470	1.1e-148	1	428	1	468	0.9953379953379954
PL8_1.hmm	269	EHKPOLGJ_00565	808	4.1e-111	1	268	444	694	0.9925650557620818
GT4.hmm	160	EHKPOLGJ_00568	505	1.4e-29	6	154	323	471	0.925
GH73.hmm	128	EHKPOLGJ_00660	258	1e-26	3	125	115	240	0.953125
CE10.hmm	341	EHKPOLGJ_00702	306	1.2e-29	80	333	62	298	0.7419354838709677
CBM50.hmm	40	EHKPOLGJ_00936	335	1.1e-16	1	39	93	134	0.95
CBM50.hmm	40	EHKPOLGJ_00936	335	6e-16	1	39	160	201	0.95
AA3_2.hmm	568	EHKPOLGJ_00955	569	9.3e-157	1	566	6	537	0.9947183098591549
CE1.hmm	227	EHKPOLGJ_00974	253	8.1e-43	1	224	10	251	0.9823788546255506
GH73.hmm	128	EHKPOLGJ_00989	619	3.9e-29	2	128	328	468	0.984375
GT4.hmm	160	EHKPOLGJ_00993	502	1.5e-27	12	149	322	457	0.85625
GT2_Glycos_transf_2.hmm	170	EHKPOLGJ_01014	412	1.8e-31	4	168	53	215	0.9647058823529412
CE4.hmm	130	EHKPOLGJ_01016	290	1.2e-24	3	125	108	249	0.9384615384615385
GT2_Glycos_transf_2.hmm	170	EHKPOLGJ_01197	573	1.6e-33	1	131	5	136	0.7647058823529411
GH109.hmm	126	EHKPOLGJ_01238	358	4.3e-22	1	124	3	120	0.9761904761904762
GH73.hmm	128	EHKPOLGJ_01320	1257	6.2e-24	3	126	1106	1240	0.9609375
GT51.hmm	177	EHKPOLGJ_01525	727	2e-61	2	176	82	257	0.9830508474576272
GT4.hmm	160	EHKPOLGJ_01533	380	8e-40	6	159	193	343	0.95625
CE10.hmm	341	EHKPOLGJ_01581	275	8.8e-20	90	329	26	269	0.7008797653958945
GH32.hmm	293	EHKPOLGJ_01650	494	2.1e-95	1	293	38	338	0.9965870307167235
CE10.hmm	341	EHKPOLGJ_01849	450	8.5e-38	45	226	48	241	0.530791788856305
GT51.hmm	177	EHKPOLGJ_01958	269	1.4e-57	8	177	76	250	0.9548022598870056
GT4.hmm	160	EHKPOLGJ_02001	388	2e-29	7	153	210	353	0.9125
GT2_Glycos_transf_2.hmm	170	EHKPOLGJ_02065	375	1.4e-17	1	120	42	161	0.7
GH1.hmm	429	EHKPOLGJ_02120	478	1.7e-149	3	428	2	475	0.9906759906759907
GT28.hmm	157	EHKPOLGJ_02341	391	1.4e-24	2	151	205	351	0.9490445859872612
CE1.hmm	227	EHKPOLGJ_02344	252	1.9e-26	1	220	16	238	0.9647577092511013
CE10.hmm	341	EHKPOLGJ_02416	322	1e-37	33	332	33	320	0.8768328445747801
GT28.hmm	157	EHKPOLGJ_02479	356	2.8e-34	2	151	190	339	0.9490445859872612
GH13_29.hmm	344	EHKPOLGJ_02543	546	1.8e-175	1	344	28	371	0.997093023255814
GH73.hmm	128	EHKPOLGJ_02552	284	1.1e-22	3	125	132	258	0.953125
