HMM Profile	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GH13_31.hmm	349	GJHCLFJP_00124	549	3.3e-160	1	349	28	372	0.997134670487106
GT4.hmm	160	GJHCLFJP_00169	380	1.7e-39	6	158	193	342	0.95
GT51.hmm	177	GJHCLFJP_00177	727	7.3e-61	2	176	82	257	0.9830508474576272
CE1.hmm	227	GJHCLFJP_00212	252	2.5e-26	1	220	16	238	0.9647577092511013
GT28.hmm	157	GJHCLFJP_00215	391	7.5e-25	2	151	205	351	0.9490445859872612
GT4.hmm	160	GJHCLFJP_00235	493	1.2e-35	7	158	316	466	0.94375
GH73.hmm	128	GJHCLFJP_00252	1175	2.1e-23	5	126	1026	1158	0.9453125
PL8_1.hmm	269	GJHCLFJP_00448	807	2.1e-110	1	269	444	694	0.9962825278810409
GH73.hmm	128	GJHCLFJP_00546	258	1.3e-26	3	125	115	240	0.953125
GT51.hmm	177	GJHCLFJP_00585	269	3.7e-58	8	177	76	250	0.9548022598870056
CE10.hmm	341	GJHCLFJP_00727	450	1.1e-37	46	226	49	241	0.5278592375366569
CE10.hmm	341	GJHCLFJP_00734	322	2.5e-37	33	332	33	320	0.8768328445747801
GT2_Glycos_transf_2.hmm	170	GJHCLFJP_00764	375	7.8e-17	1	119	42	159	0.6941176470588235
GH1.hmm	429	GJHCLFJP_00815	478	9.5e-150	3	428	2	475	0.9906759906759907
GT2_Glycos_transf_2.hmm	170	GJHCLFJP_00824	574	1.6e-33	1	131	5	136	0.7647058823529411
GH109.hmm	126	GJHCLFJP_00865	358	1.3e-21	1	124	3	120	0.9761904761904762
GH73.hmm	128	GJHCLFJP_00942	627	6.2e-22	2	125	488	609	0.9609375
CE1.hmm	227	GJHCLFJP_01064	253	7.8e-43	1	224	10	251	0.9823788546255506
GH73.hmm	128	GJHCLFJP_01080	619	3.9e-29	2	128	328	468	0.984375
GT4.hmm	160	GJHCLFJP_01084	502	2.8e-27	12	149	322	457	0.85625
GT2_Glycos_transf_2.hmm	170	GJHCLFJP_01103	412	1.8e-31	4	168	53	215	0.9647058823529412
CE4.hmm	130	GJHCLFJP_01105	290	9.6e-25	3	125	108	249	0.9384615384615385
GT51.hmm	177	GJHCLFJP_01163	301	1.1e-52	6	176	87	272	0.96045197740113
GT4.hmm	160	GJHCLFJP_01538	388	1e-29	6	153	209	353	0.91875
CE10.hmm	341	GJHCLFJP_01593	275	3.8e-20	90	329	26	269	0.7008797653958945
GT26.hmm	171	GJHCLFJP_01682	254	4.8e-61	2	170	66	232	0.9824561403508771
CE10.hmm	341	GJHCLFJP_01700	347	9.9e-56	35	338	17	322	0.8885630498533724
AA3_2.hmm	568	GJHCLFJP_01880	569	6.3e-157	1	566	6	537	0.9947183098591549
GT4.hmm	160	GJHCLFJP_02012	490	2.3e-37	5	154	313	461	0.93125
GT4.hmm	160	GJHCLFJP_02013	496	1.5e-31	9	159	321	470	0.9375
CE14.hmm	124	GJHCLFJP_02015	221	3.4e-29	1	124	8	126	0.9919354838709677
CBM50.hmm	40	GJHCLFJP_02056	334	1.1e-16	1	39	93	134	0.95
CBM50.hmm	40	GJHCLFJP_02056	334	6e-16	1	39	160	201	0.95
GH32.hmm	293	GJHCLFJP_02171	494	1.9e-95	1	293	38	338	0.9965870307167235
CE10.hmm	341	GJHCLFJP_02268	306	1.2e-29	80	333	62	298	0.7419354838709677
GT2_Glycos_transf_2.hmm	170	GJHCLFJP_02403	327	9.9e-27	2	132	5	141	0.7647058823529411
CE9.hmm	373	GJHCLFJP_02406	393	4.7e-135	1	373	6	387	0.9973190348525469
GH73.hmm	128	GJHCLFJP_02423	284	1.1e-22	3	125	132	258	0.953125
GH1.hmm	429	GJHCLFJP_02467	470	7.3e-148	1	428	1	468	0.9953379953379954
GT28.hmm	157	GJHCLFJP_02572	356	1.5e-34	2	151	190	339	0.9490445859872612
GH13_29.hmm	344	GJHCLFJP_02594	546	5e-176	1	344	28	371	0.997093023255814
